timestamp,username,action,entity_type,entity_id,description
2025-06-11T17:19:56.804918,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-11T17:20:09.786203,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-11T17:20:39.422597,admin,add,Group,5e133a58-d421-499e-9a3a-7d18bcabb038,"Group ""InfraAsCode"" added."
2025-06-11T17:20:46.962197,admin,add,Group,ef913e05-d6e7-4318-8749-867dcc6823c5,"Group ""CyberSecurity"" added."
2025-06-11T17:20:57.534082,admin,add,Group,96c9d44e-cbd1-4e85-9db9-ad66966a2bab,"Group ""AutomationGovernance"" added."
2025-06-11T17:21:00.965600,admin,add,Group,172c4bb3-e4cd-46bf-80ed-d3f5fceb09b8,"Group ""RPA"" added."
2025-06-11T17:24:06.868498,admin,delete,Group,96c9d44e-cbd1-4e85-9db9-ad66966a2bab,"Group ""AutomationGovernance"" deleted."
2025-06-11T17:24:32.451550,admin,created,policy,a8a6324e-8b69-4c26-a163-2dc67b108951,Policy 'Test Policy' created as draft.
2025-06-11T17:28:01.480820,admin,created,policy,98a94eae-4795-47d7-8282-0e8e1d9101e6,Policy 'Test Policy' created as draft.
2025-06-11T17:44:11.656904,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-11T17:44:17.415951,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-11T17:44:39.730253,creator,created,policy,b3f94474-3a09-4bf8-b632-8003136bab41,Policy 'Test Policy' created as draft.
2025-06-11T17:49:22.809995,creator,created,policy,23fec293-f39e-4a98-b09b-bc9dd6099694,Policy 'Test Policy' created as draft.
2025-06-11T17:55:35.214613,creator,created,policy,518070de-6a08-4d45-8caf-149b13673e7e,Policy 'Test Policy' created.
2025-06-11T17:56:18.395996,creator,created,policy,14c19e98-e0cd-43cd-9fca-e9ceaf83b0c3,Policy 'Test Policy' created.
